Preference Vector (1/5): 1.0, 0.0
28/100: weights=[0.304153  1.6958469], train_loss=[0.5673258 0.4072895], train_acc=[0.81225833 0.84661667], test_loss=[0.5604985  0.49226418], test_acc=[0.8127 0.8226]
29/100: weights=[0.04590518 1.9540948 ], train_loss=[0.5975972  0.39210936], train_acc=[0.80095833 0.85286667], test_loss=[0.5934932 0.4742542], test_acc=[0.80245 0.8273 ]
30/100: weights=[0.39974412 1.6002558 ], train_loss=[0.5388187  0.38924637], train_acc=[0.8229     0.85360833], test_loss=[0.53289056 0.47804806], test_acc=[0.825   0.82815]
31/100: weights=[0.63607293 1.3639271 ], train_loss=[0.5383103  0.39554527], train_acc=[0.82381667 0.85111667], test_loss=[0.53181624 0.4850661 ], test_acc=[0.82505 0.8264 ]
32/100: weights=[0.11886018 1.8811398 ], train_loss=[0.53446543 0.38849583], train_acc=[0.82481667 0.8539    ], test_loss=[0.5294863 0.4805167], test_acc=[0.82745 0.8265 ]
33/100: weights=[0.23488703 1.7651129 ], train_loss=[0.5611204 0.3811494], train_acc=[0.81603333 0.85646667], test_loss=[0.5570236  0.46968582], test_acc=[0.81595 0.82965]
34/100: weights=[0.32372946 1.6762706 ], train_loss=[0.53031474 0.3861496 ], train_acc=[0.82563333 0.85425   ], test_loss=[0.5256901 0.4751382], test_acc=[0.82795 0.82815]
35/100: weights=[0.5251564 1.4748436], train_loss=[0.5341641  0.38277227], train_acc=[0.82406667 0.85545833], test_loss=[0.5294873  0.47206938], test_acc=[0.8261  0.83045]
36/100: weights=[0.4254589 1.5745411], train_loss=[0.5373245  0.38206866], train_acc=[0.82259167 0.85673333], test_loss=[0.5336448  0.47317836], test_acc=[0.82375 0.82925]
37/100: weights=[0.23872705 1.7612729 ], train_loss=[0.52665037 0.38154718], train_acc=[0.82691667 0.85631667], test_loss=[0.5262987  0.47506222], test_acc=[0.82715 0.83105]
38/100: weights=[0.28911054 1.7108895 ], train_loss=[0.55171907 0.37762985], train_acc=[0.81725    0.85754167], test_loss=[0.54948145 0.46876562], test_acc=[0.8187 0.8322]
39/100: weights=[0.12915611 1.8708439 ], train_loss=[0.53596705 0.37959132], train_acc=[0.82340833 0.85653333], test_loss=[0.53392625 0.46925175], test_acc=[0.8228 0.8308]
40/100: weights=[0.28091934 1.7190807 ], train_loss=[0.5738649 0.3860535], train_acc=[0.80951667 0.85460833], test_loss=[0.5737894 0.4744655], test_acc=[0.80835 0.82775]
41/100: weights=[0.48240685 1.5175931 ], train_loss=[0.5303788  0.38231418], train_acc=[0.82479167 0.85475   ], test_loss=[0.52832955 0.478228  ], test_acc=[0.82405 0.8287 ]
42/100: weights=[-0.33630952  1.6636904 ], train_loss=[0.5531593  0.38126278], train_acc=[0.81738333 0.85521667], test_loss=[0.5517694  0.47646192], test_acc=[0.81765 0.8266 ]
43/100: weights=[0.09370928 1.9062908 ], train_loss=[0.54689    0.38307923], train_acc=[0.82005  0.854875], test_loss=[0.546273  0.4797559], test_acc=[0.8194 0.8261]
44/100: weights=[0.28891456 1.7110854 ], train_loss=[0.53294235 0.3764577 ], train_acc=[0.82409167 0.85800833], test_loss=[0.5317923  0.47618943], test_acc=[0.82205 0.82875]
